expression,expression_count
be you did,2
you did then,2
did then you,2
then you spent,2
you spent phoebe's,2
spent phoebe's birthday,2
phoebe's birthday party,2
birthday party talking,2
party talking to,2
talking to my,2
to my breasts,2
my breasts so,2
breasts so then,2
so then i,2
then i figured,2
i figured maybe,2
figured maybe not,2
maybe not huh,2
not huh did,2
huh did uh,2
did uh any,2
uh any of,3
any of the,3
of the rest,2
the rest of,14
rest of you,6
of you guys,2
you guys think,2
guys think that,2
think that when,2
that when you,3
when you first,2
you first met,2
first met me,2
met me i,2
me i did,4
i did i,12
did i think,2
i think so,8
think so not,2
so not me,2
not me no,2
me no no,8
no no me,2
no me neither,2
me neither although,2
neither although uh,2
although uh back,2
uh back in,2
back in college,3
in college susan,2
college susan saladore,2
susan saladore did,2
saladore did you're,2
did you're kidding,2
you're kidding did,2
kidding did you,2
did you tell,2
you tell her,4
tell her i,4
her i wasn't,2
i wasn't no,2
wasn't no it's,2
no it's because,2
it's because i,4
because i wanted,2
i wanted to,17
wanted to go,4
to go out,10
go out with,24
out with her,10
with her too,2
her too so,2
too so i,2
so i told,4
i told her,10
told her actually,2
her actually you,2
actually you were,2
you were seeing,2
were seeing bernie,2
seeing bernie spellman,2
bernie spellman who,2
spellman who also,2
who also liked,2
also liked her,2
liked her well,2
her well this,4
well this is,5
this is fascinating,2
is fascinating so,2
fascinating so uh,2
so uh what,9
uh what is,2
what is it,28
is it about,4
it about me,2
about me i,4
me i don't,11
i don't know,194
don't know because,2
know because you're,2
because you're smart,2
you're smart you're,4
smart you're funny,2
you're funny ross,2
funny ross is,2
ross is smart,2
is smart and,2
smart and funny,5
and funny you,2
funny you ever,2
you ever think,4
ever think that,4
think that about,2
that about him,2
about him ha,2
him ha ha,2
ha ha yeah,6
ha yeah right,2
yeah right what,2
right what is,6
is it okay,2
it okay i,8
okay i don't,12
don't know you,13
know you just,4
you just you,2
just you have,2
you have a,28
have a quality,6
a quality yes,2
quality yes exactly,2
yes exactly right,2
exactly right yeah,2
right yeah a,4
yeah a quality,2
a quality a,4
quality a quality,4
a quality good,2
quality good i,2
good i was,2
i was worried,2
was worried you,2
worried you were,2
you were gonna,4
were gonna be,2
gonna be vague,2
be vague about,2
vague about this,2
about this hello,2
this hello hello,2
hello hello oh,2
hello oh rachel,4
oh rachel it's,4
rachel it's paolo,2
it's paolo calling,2
paolo calling from,2
calling from rome,6
from rome oh,2
rome oh my,2
oh my god,143
my god calling,2
god calling from,2
from rome so,2
rome so he's,2
so he's calling,2
he's calling from,2
from rome i,2
rome i could,2
i could do,10
could do that,10
do that just,2
that just gotta,2
just gotta go,2
gotta go to,4
go to rome,2
to rome monica,2
rome monica your,2
monica your dad,2
your dad just,2
dad just beeped,2
just beeped in,2
beeped in can,2
in can you,2
can you make,2
you make it,4
make it quick,2
it quick i'm,2
quick i'm talking,2
i'm talking to,4
talking to rome,4
to rome i'm,2
rome i'm talking,2
to rome hey,2
rome hey dad,2
hey dad what's,2
dad what's up,2
what's up oh,4
up oh god,2
oh god ross,4
god ross it's,2
ross it's nana,2
it's nana hey,2
nana hey monica,2
hey monica how,2
monica how you,2
how you doing,8
you doing ross,2
doing ross hey,2
ross hey dad,2
hey dad so,2
dad so uh,2
so uh how's,2
uh how's she,2
how's she doing,2
she doing the,2
doing the doctor,2
the doctor says,4
doctor says it's,2
says it's a,2
it's a matter,2
a matter of,2
matter of hours,2
of hours how,2
hours how are,2
how are you,18
are you mom,2
you mom me,2
mom me i'm,2
me i'm fine,4
i'm fine fine,2
fine fine i'm,2
fine i'm glad,2
i'm glad you're,2
glad you're here,2
you're here what's,2
here what's with,2
what's with your,2
with your hair,2
your hair what,2
hair what what's,2
what what's different,2
what's different nothing,2
different nothing oh,2
nothing oh maybe,2
oh maybe that's,2
maybe that's it,2
that's it she's,2
it she's unbelievable,2
she's unbelievable her,2
unbelievable her mother's,2
her mother's okay,2
mother's okay relax,2
okay relax relax,2
relax relax we,2
relax we are,2
we are gonna,2
are gonna be,6
gonna be here,6
be here a,6
here a while,2
a while it,2
while it looks,2
it looks like,12
looks like we,4
like we still,2
we still have,4
still have boyfriends,2
have boyfriends and,2
boyfriends and your,2
and your career,2
your career to,2
career to cover,2
to cover oh,2
cover oh god,2
oh god the,2
god the fuzzy,2
the fuzzy little,2
fuzzy little mints,2
little mints at,2
mints at the,2
at the bottom,2
the bottom of,2
bottom of her,2
of her purse,2
her purse oh,2
purse oh yeah,2
oh yeah they,2
yeah they were,2
they were gross,2
were gross oh,2
gross oh you,2
oh you know,10
you know what,100
know what i,45
what i love,2
i love her,4
love her sweet,2
her sweet 'n,2
sweet 'n lows,2
'n lows how,2
lows how she,2
how she was,2
she was always,2
was always stealing,2
always stealing them,2
stealing them from,2
them from restaurants,2
from restaurants not,2
restaurants not just,2
not just restaurants,2
just restaurants from,2
restaurants from our,2
from our house,2
our house mrs,2
house mrs geller,2
mrs geller ross,2
geller ross she,2
ross she looks,2
she looks so,2
looks so small,2
so small i,2
small i know,2
i know well,4
know well at,2
well at least,6
at least she's,2
least she's with,2
she's with poppop,2
with poppop and,2
poppop and aunt,2
and aunt phyllis,2
aunt phyllis now,2
phyllis now goodbye,2
now goodbye nana,2
goodbye nana bye,2
nana bye nana,2
bye nana ross,2
nana ross nurse,2
ross nurse what,2
nurse what is,2
what is going,2
is going on,2
going on you,2
on you know,6
you know uh,2
know uh how,2
uh how the,2
how the nurse,2
the nurse said,2
nurse said nana,2
said nana had,2
nana had passed,2
had passed well,2
passed well she's,2
well she's not,2
she's not quite,2
not quite what,2
quite what she's,2
what she's not,2
she's not passed,2
not passed she's,2
passed she's present,2
she's present she's,2
present she's back,2
she's back what's,2
back what's going,2
what's going on,38
going on she,2
on she may,2
she may have,4
may have died,4
have died she,2
died she may,2
have died we're,2
died we're looking,2
we're looking into,2
looking into it,2
into it uh,2
it uh i'll,2
uh i'll go,2
i'll go see,4
go see this,2
see this almost,2
this almost never,2
almost never happens,2
never happens now,2
happens now she's,2
now she's passed,2
she's passed i,2
passed i just,2
i just have,7
just have to,6
have to know,6
to know okay,4
know okay is,4
okay is it,4
is it my,2
it my hair,2
my hair yes,2
hair yes chandler,2
yes chandler that's,2
chandler that's exactly,2
that's exactly what,2
exactly what it,2
what it is,4
it is it's,2
is it's your,2
it's your hair,2
your hair yeah,2
hair yeah you,2
yeah you have,4
you have homosexual,2
have homosexual hair,2
homosexual hair rachel,2
hair rachel hey,2
rachel hey monica,2
hey monica hi,2
monica hi rachel,2
hi rachel so,2
rachel so did,2
so did she,2
did she twice,2
she twice oh,2
twice oh that,2
oh that sucks,2
that sucks you,2
sucks you guys,2
you guys okay,2
guys okay i,2
don't know it's,8
know it's weird,2
it's weird i,3
weird i know,2
i know she's,2
know she's gone,2
she's gone but,2
gone but i,2
but i just,7
i just don't,21
just don't feel,4
don't feel uh,2
feel uh maybe,2
uh maybe that's,4
maybe that's because,6
that's because she's,2
because she's not,2
she's not really,2
not really gone,2
really gone no,2
gone no no,4
no no she's,3
no she's gone,2
she's gone we,2
gone we checked,2
we checked a,2
checked a lot,2
a lot no,2
lot no i,2
no i mean,11
i mean maybe,3
mean maybe no,2
maybe no one,2
no one ever,2
one ever really,2
ever really goes,2
really goes ever,2
goes ever since,2
ever since my,2
since my mom,2
my mom died,2
mom died every,2
died every now,2
every now and,2
now and then,6
and then i,9
then i get,2
i get this,2
get this feeling,2
this feeling that,2
feeling that she's,2
that she's like,2
she's like right,2
like right here,2
right here you,2
here you know,10
you know oh,2
know oh and,2
oh and debbie,2
and debbie my,2
debbie my best,2
my best friend,6
best friend from,2
friend from junior,2
from junior high,2
junior high got,2
high got struck,2
got struck by,2
struck by lightning,2
by lightning on,2
lightning on a,2
on a miniature,4
a miniature golf,2
miniature golf course,2
golf course i,2
course i always,2
i always get,2
always get this,2
get this strong,2
this strong debbie,2
strong debbie vibe,2
debbie vibe whenever,2
vibe whenever i,2
whenever i use,2
i use one,2
use one of,2
one of those,18
of those little,2
those little yellow,2
little yellow pencils,2
yellow pencils i,2
pencils i miss,2
i miss her,4
miss her aw,2
her aw here,2
aw here pheebs,2
here pheebs want,2
pheebs want this,2
want this oh,2
this oh thanks,2
oh thanks sure,2
thanks sure i,2
sure i just,2
i just sharpened,2
just sharpened her,2
sharpened her this,2
her this morning,2
this morning see,2
morning see i,2
see i don't,6
i don't believe,6
don't believe any,2
believe any of,4
any of that,4
of that i,4
that i think,2
i think when,4
think when you're,2
when you're dead,2
you're dead you're,2
dead you're dead,2
dead you're gone,2
you're gone you're,2
gone you're worm,2
you're worm food,2
worm food so,2
food so chandler,2
so chandler looks,2
chandler looks gay,2
looks gay huh,2
gay huh i,2
huh i don't,4
don't know who,4
know who this,4
who this is,4
this is but,2
is but it's,4
but it's not,6
it's not debbie,2
not debbie i,2
debbie i thought,2
i thought it'd,2
thought it'd be,2
it'd be a,2
be a closed,2
a closed casket,2
closed casket well,2
casket well that,2
well that doesn't,2
that doesn't mean,4
doesn't mean she,2
mean she can't,2
she can't look,2
can't look nice,4
look nice sweetie,2
nice sweetie you,2
sweetie you think,2
you think you,15
think you can,4
you can get,5
can get in,2
get in there,2
in there i,5
there i don't,2
i don't see,11
don't see why,4
see why not,2
why not ross,2
not ross here's,2
ross here's my,2
here's my retainer,2
my retainer i,2
retainer i was,2
i was just,30
was just thinking,4
just thinking when,2
thinking when my,2
when my time,4
my time comes,4
time comes dad,2
comes dad listen,2
dad listen to,2
listen to me,10
to me when,2
me when my,2
time comes i,2
comes i wanna,2
i wanna be,6
wanna be buried,4
be buried at,4
buried at sea,6
at sea you,2
sea you what,2
you what i,8
what i wanna,2
at sea it,2
sea it looks,2
looks like fun,2
like fun define,2
fun define fun,2
define fun come,2
fun come on,4
come on you'll,2
on you'll make,2
you'll make a,2
make a day,2
a day of,2
day of it,2
of it you'll,2
it you'll get,2
you'll get a,2
get a boat,2
a boat pack,2
boat pack a,2
pack a lunch,2
a lunch and,2
lunch and then,2
and then we,14
then we throw,2
we throw your,2
throw your body,2
your body in,2
body in the,2
in the water,2
the water gee,2
water gee that,2
gee that does,2
that does sound,2
does sound fun,2
sound fun everyone,2
fun everyone thinks,2
everyone thinks they,2
thinks they know,2
they know me,2
know me everyone,2
me everyone says,2
everyone says jack,2
says jack geller,2
jack geller so,2
geller so predictable,2
so predictable maybe,2
predictable maybe after,2
maybe after i'm,2
after i'm gone,2
i'm gone they'll,2
gone they'll say,2
they'll say buried,2
say buried at,2
at sea huh,2
sea huh that's,2
huh that's probably,2
that's probably what,2
probably what they'll,2
what they'll say,2
they'll say i'd,2
say i'd like,2
i'd like that,4
like that hey,2
that hey gorgeous,2
hey gorgeous hey,2
gorgeous hey look,2
hey look i'm,2
look i'm sorry,6
i'm sorry about,2
sorry about yesterday,2
about yesterday don't,2
yesterday don't worry,2
don't worry about,2
worry about it,2
about it apparently,2
it apparently other,2
apparently other people,2
other people have,4
people have made,2
have made the,2
made the same,2
the same mistake,2
same mistake oh,2
mistake oh okay,2
oh okay phew,2
okay phew so,2
phew so uh,2
uh what do,2
what do you,103
do you think,53
you think it,12
think it is,2
it is about,2
is about me,2
don't know what,25
know what you,29
what you just,6
you just have,5
just have a,6
a quality right,2
quality right great,2
right great it's,2
great it's a,2
it's a shame,2
a shame because,2
shame because you,2
because you and,2
you and lowell,2
and lowell would've,2
lowell would've made,2
would've made a,2
made a great,2
a great couple,2
great couple lowell,2
couple lowell financial,2
lowell financial services,2
financial services lowell,2
services lowell that's,2
lowell that's who,2
that's who you,4
who you saw,2
you saw me,2
saw me with,2
me with what,2
with what he's,2
what he's cute,2
he's cute well,2
cute well yeah,2
well yeah he's,2
yeah he's no,2
he's no brian,2
no brian in,2
brian in payroll,2
in payroll is,2
payroll is brian,2
is brian no,2
brian no i,2
no i don't,26
don't know the,8
know the point,2
the point is,6
point is if,2
is if you,4
if you were,10
were gonna set,2
gonna set me,2
set me up,4
me up i'd,2
up i'd like,2
i'd like to,8
like to think,2
to think it'd,2
think it'd be,2
it'd be with,2
be with somebody,2
with somebody like,2
somebody like him,2
like him well,2
him well i,6
well i think,8
i think brian's,2
think brian's a,2
brian's a little,2
a little out,2
little out of,2
out of your,10
of your league,4
your league excuse,2
league excuse me,2
excuse me you,2
me you don't,4
you don't think,12
don't think i,11
think i could,2
i could get,10
could get a,8
get a brian,10
a brian because,2
brian because i,2
because i could,2
a brian believe,2
brian believe you,2
believe you me,2
you me i'm,4
me i'm really,2
i'm really not,4
really not ross,2
not ross this,2
ross this one,2
this one no,2
one no i've,2
no i've shown,2
i've shown you,2
shown you every,2
you every dress,2
every dress we,2
dress we have,2
we have unless,2
have unless you,2
unless you want,2
you want her,6
want her to,6
her to spend,2
to spend eternity,2
spend eternity in,2
eternity in a,2
in a lemonyellow,2
a lemonyellow pantsuit,2
lemonyellow pantsuit go,2
pantsuit go with,2
go with the,7
with the burgundy,4
the burgundy whatever,2
burgundy whatever we,2
whatever we pick,2
we pick she,2
pick she would've,2
she would've told,2
would've told us,2
told us it's,2
us it's the,2
it's the wrong,2
the wrong one,2
wrong one you're,2
one you're right,2
you're right we'll,2
right we'll go,2
we'll go with,2
the burgundy a,2
burgundy a fine,2
a fine choice,2
fine choice i'm,2
choice i'm coming,2
i'm coming out,2
coming out wait,2
out wait we,2
wait we need,2
we need shoes,2
need shoes okay,2
shoes okay uh,2
okay uh how,2
uh how about,4
how about these,2
about these that's,2
these that's really,2
that's really a,2
really a day,2
a day shoe,2
day shoe and,2
shoe and where,2
and where she's,2
where she's going,2
she's going everyone,2
going everyone else,2
everyone else will,2
else will be,2
will be dressier,2
be dressier could,2
dressier could we,2
could we see,2
we see something,2
see something in,2
something in a,4
in a slimmer,2
a slimmer heel,2
slimmer heel okay,2
heel okay i,2
okay i have,6
i have nothing,2
have nothing in,4
nothing in an,2
in an evening,2
an evening shoe,2
evening shoe in,2
shoe in the,2
in the burgundy,2
the burgundy i,2
burgundy i can,2
i can show,4
can show you,4
show you something,2
you something in,2
in a silver,2
a silver that,2
silver that may,2
that may work,2
may work no,2
work no it,2
no it really,2
it really should,2
really should be,2
should be burgundy,2
be burgundy unless,2
burgundy unless we,2
unless we go,2
we go with,2
go with a,2
with a different,2
a different dress,2
different dress yes,2
dress yes no,2
yes no no,2
no no no,91
no no watch,2
no watch this,2
watch this wait,2
this wait i,2
wait i may,2
i may have,2
may have something,2
have something in,2
something in the,2
in the back,4
the back oh,2
back oh my,2
my god is,2
god is everything,2
is everything all,2
everything all right,2
all right dear,3
right dear yeah,2
dear yeah yeah,2
yeah yeah just,2
yeah just nana's,2
just nana's stuff,2
nana's stuff how,2
stuff how we,2
how we doing,2
we doing you,2
doing you guys,2
you guys ready,2
guys ready mom,2
ready mom called,2
mom called to,2
called to remind,2
to remind me,2
remind me not,2
me not to,2
not to wear,2
to wear my,2
wear my hair,2
my hair up,2
hair up did,2
up did you,4
did you know,17
you know my,9
know my ears,2
my ears were,2
ears were not,2
were not my,2
not my best,2
my best feature,2
best feature some,2
feature some days,2
some days it's,2
days it's all,2
it's all i,2
all i can,2
i can think,2
can think about,2
think about hi,4
about hi i'm,2
hi i'm sorry,2
i'm sorry i'm,12
sorry i'm late,12
i'm late i,4
late i couldn't,2
i couldn't find,4
couldn't find my,2
find my bearings,2
my bearings heh,2
bearings heh you,2
heh you mean,2
you mean your,2
mean your earrings,2
your earrings what,2
earrings what did,2
what did i,6
did i say,6
i say are,2
say are these,2
are these the,2
these the shoes,2
the shoes yes,2
shoes yes paolo,2
yes paolo sent,2
paolo sent them,2
sent them from,2
them from italy,2
from italy what,2
italy what we,2
what we uh,2
we uh don't,2
uh don't have,2
don't have shoes,2
have shoes here,2
shoes here morning,2
here morning we,2
morning we ready,2
we ready to,4
ready to go,2
to go don't,2
go don't we,2
don't we look,2
we look nice,2
look nice all,2
nice all dressed,2
all dressed up,2
dressed up it's,2
up it's stuff,2
it's stuff like,2
stuff like that,2
like that isn't,2
that isn't it,2
isn't it it,2
it it was,4
it was a,36
was a beautiful,2
a beautiful service,2
beautiful service it,2
service it really,2
it really was,4
really was come,2
was come here,2
come here sweetheart,2
here sweetheart you,2
sweetheart you know,2
you know i,159
know i think,9
i think it's,31
think it's time,5
it's time for,5
time for you,4
for you to,12
you to start,4
to start using,2
start using night,2
using night cream,2
night cream what,2
cream what nothing,2
what nothing just,2
nothing just your,2
just your overcoat,2
your overcoat sounds,2
overcoat sounds remarkably,2
sounds remarkably like,2
remarkably like brent,2
like brent musburger,2
brent musburger check,2
musburger check it,2
check it out,4
it out giantscowboys,2
out giantscowboys you're,2
giantscowboys you're watching,2
you're watching football,2
watching football at,2
football at a,2
at a funeral,2
a funeral no,2
funeral no it's,2
no it's the,4
it's the pregame,2
the pregame i'm,2
pregame i'm gonna,2
i'm gonna watch,2
gonna watch it,2
watch it at,2
it at the,2
at the reception,2
the reception you're,2
reception you're a,2
you're a frightening,2
a frightening frightening,2
frightening frightening man,2
frightening man rachel,2
man rachel oh,2
rachel oh no,2
oh no my,2
no my new,2
my new paolo,2
new paolo shoes,2
paolo shoes oh,2
shoes oh i,2
oh i hope,2
i hope they're,2
hope they're not,2
they're not ruined,2
not ruined phoebe,2
ruined phoebe god,2
phoebe god what,2
god what a,3
what a great,5
a great day,2
great day what,2
day what weatherwise,2
what weatherwise i,2
weatherwise i know,2
i know the,8
know the air,2
the air the,2
air the trees,2
the trees even,2
trees even though,2
even though nana's,2
though nana's gone,2
nana's gone there's,2
gone there's something,2
there's something almost,2
something almost uh,2
almost uh life,2
uh life ross,2
life ross are,2
ross are you,4
are you okay,24
you okay ross,2
okay ross i'm,2
ross i'm fine,2
i'm fine no,4
fine no i'm,4
no i'm fine,8
i'm fine just,2
fine just having,2
just having my,2
having my worst,2
my worst fear,2
worst fear realized,2
fear realized but,2
realized but phoebe,2
but phoebe i'm,2
phoebe i'm just,2
i'm just checking,2
just checking to,2
checking to see,2
to see if,4
see if the,2
if the muscle's,2
the muscle's in,2
muscle's in spasm,2
in spasm huh,2
spasm huh what,2
huh what what,2
what what is,8
is it you,6
it you missed,2
you missed a,2
missed a belt,2
a belt loop,2
belt loop ugh,2
loop ugh okay,2
ugh okay it's,2
okay it's in,2
it's in spasm,2
in spasm here,2
spasm here sweetie,2
here sweetie here,2
sweetie here i,2
here i took,2
i took these,2
took these when,2
these when i,2
when i had,2
i had my,2
had my golfing,2
my golfing accident,2
golfing accident thanks,2
accident thanks mom,2
thanks mom andrea,2
mom andrea sorry,2
andrea sorry hi,2
sorry hi i'm,2
hi i'm andrea,2
i'm andrea i'm,2
andrea i'm dorothy's,2
i'm dorothy's daughter,2
dorothy's daughter hi,2
daughter hi i'm,2
hi i'm chandler,2
i'm chandler and,2
chandler and i,2
and i have,12
i have no,26
have no idea,24
no idea who,4
idea who dorothy,2
who dorothy is,2
dorothy is phoebe,2
is phoebe hey,2
phoebe hey look,2
hey look who's,2
look who's up,2
who's up hey,2
up hey how,2
hey how do,2
how do you,20
do you feel,6
you feel i,2
feel i feel,2
i feel great,6
feel great i,4
great i feel,4
feel great wow,2
great wow those,2
wow those pills,2
those pills really,2
pills really worked,2
really worked huh,2
worked huh yeah,2
huh yeah not,2
yeah not the,2
not the first,6
the first two,2
first two but,2
two but the,2
but the second,2
the second two,2
second two whew,2
two whew i,2
whew i love,2
i love you,35
love you guys,2
you guys you,10
guys you guys,4
you guys are,9
guys are the,2
are the greatest,2
the greatest i,2
greatest i love,2
i love my,6
love my sister,2
my sister i,2
sister i love,2
i love pheebs,2
love pheebs ha,2
pheebs ha that's,2
ha that's so,2
that's so nice,4
so nice hey,4
nice hey chandler,2
hey chandler hey,4
chandler hey i,2
hey i love,2
love you man,6
you man and,2
man and listen,2
and listen if,2
listen if you,3
if you wanna,4
you wanna be,3
wanna be gay,2
be gay be,2
gay be gay,2
be gay it,2
gay it doesn't,2
it doesn't matter,6
doesn't matter to,2
matter to me,2
to me you,8
me you were,4
you were right,8
were right rachel,2
right rachel rachel,2
rachel rachel rachel,2
rachel rachel i,6
rachel i love,2
love you the,2
you the most,2
the most well,2
most well you,2
well you know,17
you know who,6
know who i,2
who i love,4
i love the,6
love the most,2
the most no,2
most no you,2
no you oh,2
you oh you,2
oh you don't,4
you don't get,6
don't get it,8
get it aw,2
it aw what,2
aw what do,2
do you got,6
you got there,2
got there uh,2
there uh just,2
uh just a,2
just a uh,2
a uh hearing,2
uh hearing disability,2
hearing disability what's,2
disability what's the,2
what's the score,2
the score 1714,2
score 1714 giants,2
1714 giants three,2
giants three minutes,2
three minutes to,2
minutes to go,2
to go in,6
go in the,5
in the third,2
the third beautiful,2
third beautiful pheebs,2
beautiful pheebs could,2
pheebs could you,2
could you maybe,2
you maybe hand,2
maybe hand me,2
hand me a,2
me a cracker,2
a cracker your,2
cracker your grandmother,2
your grandmother would've,2
grandmother would've hated,2
would've hated this,2
hated this well,2
this well sure,2
well sure what,2
sure what with,2
what with it,2
with it being,2
it being her,2
being her funeral,2
her funeral and,2
funeral and all,2
and all no,2
all no i'd,2
no i'd be,2
i'd be hearing,2
be hearing about,2
hearing about why,2
about why didn't,2
why didn't i,2
didn't i get,2
i get the,8
get the honeyglazed,2
the honeyglazed ham,2
honeyglazed ham or,2
ham or i,2
or i didn't,4
i didn't spend,2
didn't spend enough,2
spend enough on,2
enough on flowers,2
on flowers if,2
flowers if i,2
if i spent,2
i spent more,2
spent more she'd,2
more she'd say,2
she'd say why,2
say why waste,2
why waste your,2
waste your money,2
your money i,2
money i don't,2
i don't need,12
don't need flowers,2
need flowers i'm,2
flowers i'm dead,2
i'm dead that,2
dead that sounds,2
that sounds like,5
sounds like nana,2
like nana do,2
nana do you,2
do you know,19
know what it's,4
what it's like,2
it's like to,2
like to grow,2
to grow up,2
grow up with,2
up with someone,4
with someone who,4
someone who is,2
who is critical,2
is critical of,2
critical of every,2
of every single,2
every single thing,2
single thing you,2
thing you say,2
you say i,4
say i can,2
i can imagine,2
can imagine i,2
imagine i tell,2
i tell you,10
tell you it's,2
you it's a,2
it's a wonder,2
a wonder your,2
wonder your mother,2
your mother turned,2
mother turned out,2
turned out to,5
out to be,7
to be the,14
be the positive,2
the positive lifeaffirming,2
positive lifeaffirming person,2
lifeaffirming person she,2
person she is,2
she is that,4
is that is,2
that is a,6
is a wonder,2
a wonder so,2
wonder so tell,2
so tell me,8
tell me something,4
me something mom,2
something mom if,2
mom if you,2
if you had,5
you had to,10
had to do,10
to do it,10
do it all,2
it all over,4
all over again,7
over again i,2
again i mean,4
i mean if,8
mean if she,2
if she was,2
she was here,2
was here right,2
here right now,6
right now would,2
now would you,2
would you tell,2
tell her tell,2
her tell her,4
tell her what,2
her what how,2
what how she,2
how she drove,2
she drove you,2
drove you crazy,2
you crazy picking,2
crazy picking on,2
picking on every,2
on every little,2
every little detail,2
little detail like,2
detail like your,2
like your hair,2
your hair for,2
hair for example,2
for example i'm,2
example i'm not,2
i'm not sure,2
not sure i,2
sure i know,2
i know what,8
know what you're,6
what you're getting,2
you're getting at,2
getting at would,2
at would things,2
would things have,2
things have been,4
have been better,2
been better if,2
better if you'd,2
if you'd just,2
you'd just told,2
just told her,2
told her the,2
her the truth,2
the truth no,2
truth no i,2
no i think,8
i think some,2
think some things,2
some things are,2
things are better,2
are better left,2
better left unsaid,2
left unsaid i,2
unsaid i think,2
think it's nicer,2
it's nicer when,2
nicer when people,2
when people just,2
people just get,2
just get along,2
get along ha,2
along ha more,2
ha more wine,2
more wine dear,2
wine dear oh,2
dear oh i,2
oh i think,2
think so those,2
so those earrings,2
those earrings look,2
earrings look really,2
look really lovely,2
really lovely on,2
lovely on you,2
on you thank,4
you thank you,9
thank you they're,2
you they're yours,2
they're yours actually,2
yours actually they,2
actually they were,2
they were nana's,2
were nana's men,2
nana's men no,2
men no now,2
no now i'm,2
now i'm depressed,2
i'm depressed even,2
depressed even more,2
even more than,2
more than i,6
than i was,2
i was hey,2
was hey who's,2
hey who's this,2
who's this little,2
this little naked,2
little naked guy,4
naked guy uh,2
guy uh that,2
uh that little,2
that little naked,2
naked guy would,2
guy would be,2
would be me,4
be me aw,2
me aw look,2
aw look at,2
look at the,9
at the little,4
the little thing,2
little thing yes,2
thing yes fine,2
yes fine that,2
fine that is,2
that is my,2
is my penis,2
my penis can,2
penis can we,2
can we be,2
we be grownups,2
be grownups now,2
grownups now who,2
now who are,2
who are those,2
are those people,2
those people got,2
people got me,2
got me that's,2
me that's nana,2
that's nana right,2
nana right there,2
right there in,6
there in the,6
in the middle,11
the middle wow,2
middle wow yeah,2
wow yeah let's,2
yeah let's see,4
let's see me,2
see me and,2
me and the,9
and the gang,2
the gang at,2
gang at java,2
at java joe's,2
java joe's wow,2
joe's wow monica,2
wow monica you,2
monica you look,2
you look just,2
look just like,2
just like your,2
like your grandmother,2
your grandmother how,2
grandmother how old,2
how old was,2
old was she,2
was she there,2
she there let's,2
there let's see,2
let's see 1939,2
see 1939 uh,2
1939 uh twentyfour,2
uh twentyfour twentyfive,2
twentyfour twentyfive huh,2
twentyfive huh it,2
huh it looks,2
looks like a,8
like a fun,2
a fun gang,2
fun gang ooh,2
gang ooh look,2
ooh look look,2
look look look,4
look look i,4
look i got,4
i got monica,2
got monica naked,2
monica naked let,2
naked let me,4
let me see,19
me see no,2
see no no,2
no no that,17
no that would,4
that would be,28
be me again,2
me again i'm,2
again i'm uh,2
i'm uh just,2
uh just trying,2
just trying something,2
trying something hey,2
something hey lowell,2
hey lowell oh,2
lowell oh hey,2
oh hey chandler,2
hey chandler so,2
chandler so how's,2
so how's it,2
it going in,2
going in financial,2
in financial services,2
financial services it's,2
services it's like,2
it's like mardi,2
like mardi gras,2
mardi gras without,2
gras without the,2
without the papiermache,2
the papiermache heads,2
papiermache heads how,2
heads how about,2
how about you,2
about you good,2
